Unnamed: 0,А,Б,В,Г,Д,Е,Ж,З,И,Й,К,Л,М,Н,О,П,Р,С,Т,У,Ф,Х,Ц,Ч,Ш,Щ,Ы,Ь,Э,Ю,Я,Unnamed: 32
А,2.0,12.0,35.0,8.0,14.0,7.0,6.0,15.0,7.0,7.0,19.0,27.0,19.0,45.0,5.0,11.0,26.0,31.0,27.0,3.0,1.0,10.0,6.0,7.0,10.0,1.0,0.0,0.0,2.0,6.0,9.0,0.0
Б,5.0,0.0,0.0,0.0,0.0,9.0,1.0,0.0,6.0,0.0,0.0,6.0,0.0,2.0,21.0,0.0,8.0,1.0,0.0,6.0,0.0,0.0,0.0,0.0,0.0,1.0,11.0,0.0,0.0,0.0,2.0,0.0
В,35.0,1.0,5.0,3.0,3.0,32.0,0.0,2.0,17.0,0.0,7.0,10.0,3.0,9.0,58.0,6.0,6.0,19.0,6.0,7.0,0.0,1.0,1.0,2.0,4.0,1.0,18.0,1.0,2.0,0.0,3.0,0.0
Г,7.0,0.0,0.0,0.0,3.0,3.0,0.0,0.0,5.0,0.0,1.0,5.0,0.0,1.0,50.0,0.0,7.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Д,25.0,0.0,3.0,1.0,1.0,29.0,1.0,1.0,13.0,0.0,1.0,5.0,1.0,13.0,22.0,3.0,6.0,8.0,1.0,10.0,0.0,0.0,1.0,1.0,1.0,0.0,5.0,1.0,0.0,0.0,1.0,0.0
Е,2.0,9.0,18.0,11.0,27.0,7.0,5.0,10.0,6.0,15.0,13.0,35.0,24.0,63.0,7.0,16.0,39.0,37.0,33.0,3.0,1.0,8.0,3.0,7.0,3.0,3.0,0.0,0.0,1.0,1.0,2.0,0.0
Ж,5.0,1.0,0.0,0.0,6.0,12.0,0.0,0.0,5.0,0.0,0.0,0.0,0.0,6.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
З,35.0,1.0,7.0,1.0,5.0,3.0,0.0,0.0,4.0,0.0,2.0,1.0,2.0,9.0,9.0,1.0,3.0,1.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,4.0,0.0,0.0,0.0,4.0,0.0
И,4.0,6.0,22.0,5.0,10.0,21.0,2.0,23.0,19.0,11.0,19.0,21.0,20.0,32.0,8.0,13.0,11.0,29.0,29.0,3.0,1.0,17.0,3.0,11.0,1.0,1.0,0.0,0.0,1.0,3.0,17.0,0.0
Й,1.0,1.0,4.0,1.0,3.0,0.0,1.0,2.0,4.0,0.0,5.0,1.0,2.0,7.0,9.0,7.0,3.0,10.0,2.0,0.0,0.0,0.0,1.0,3.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
К,24.0,1.0,4.0,1.0,0.0,4.0,1.0,1.0,26.0,0.0,1.0,4.0,1.0,2.0,66.0,2.0,10.0,3.0,7.0,10.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Л,25.0,1.0,1.0,1.0,1.0,33.0,2.0,1.0,36.0,0.0,1.0,2.0,1.0,8.0,30.0,2.0,0.0,3.0,1.0,6.0,0.0,4.0,0.0,1.0,0.0,0.0,3.0,20.0,0.0,4.0,9.0,0.0
М,18.0,2.0,4.0,1.0,1.0,21.0,1.0,2.0,23.0,0.0,3.0,1.0,3.0,7.0,19.0,5.0,2.0,5.0,3.0,9.0,1.0,0.0,0.0,2.0,0.0,0.0,5.0,1.0,1.0,0.0,3.0,0.0
Н,54.0,1.0,2.0,3.0,3.0,34.0,0.0,0.0,58.0,0.0,3.0,0.0,1.0,24.0,67.0,2.0,1.0,9.0,9.0,7.0,1.0,0.0,5.0,2.0,0.0,0.0,36.0,3.0,0.0,0.0,5.0,0.0
О,1.0,28.0,84.0,32.0,47.0,15.0,7.0,18.0,12.0,29.0,19.0,41.0,38.0,30.0,9.0,18.0,43.0,50.0,39.0,3.0,2.0,5.0,2.0,12.0,4.0,3.0,0.0,0.0,2.0,3.0,2.0,0.0
П,7.0,0.0,0.0,0.0,0.0,15.0,0.0,0.0,4.0,0.0,0.0,9.0,0.0,1.0,46.0,0.0,41.0,1.0,0.0,6.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,2.0,0.0
Р,55.0,1.0,4.0,4.0,3.0,37.0,3.0,1.0,24.0,0.0,3.0,1.0,3.0,7.0,56.0,2.0,1.0,5.0,9.0,16.0,0.0,1.0,1.0,1.0,2.0,0.0,8.0,3.0,0.0,0.0,5.0,0.0
С,8.0,1.0,7.0,1.0,2.0,25.0,0.0,0.0,6.0,0.0,40.0,13.0,3.0,9.0,27.0,11.0,4.0,11.0,82.0,6.0,0.0,1.0,1.0,2.0,2.0,0.0,1.0,8.0,0.0,0.0,17.0,0.0
Т,35.0,1.0,27.0,1.0,3.0,31.0,0.0,1.0,28.0,0.0,5.0,1.0,1.0,11.0,56.0,4.0,26.0,18.0,2.0,10.0,0.0,0.0,0.0,1.0,0.0,0.0,11.0,21.0,0.0,0.0,4.0,0.0
У,1.0,4.0,4.0,4.0,11.0,2.0,6.0,3.0,2.0,0.0,8.0,5.0,5.0,5.0,1.0,5.0,7.0,14.0,7.0,0.0,0.0,1.0,0.0,8.0,3.0,2.0,0.0,0.0,0.0,9.0,1.0,0.0
Ф,2.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Х,4.0,1.0,4.0,1.0,3.0,1.0,0.0,2.0,3.0,0.0,4.0,3.0,3.0,4.0,18.0,5.0,3.0,4.0,2.0,2.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Ц,3.0,0.0,0.0,0.0,0.0,7.0,0.0,0.0,10.0,0.0,2.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0
Ч,12.0,0.0,0.0,0.0,0.0,23.0,0.0,0.0,13.0,0.0,2.0,0.0,0.0,6.0,0.0,0.0,0.0,0.0,7.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0
Ш,5.0,0.0,0.0,0.0,0.0,11.0,0.0,0.0,14.0,0.0,1.0,2.0,0.0,2.0,2.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0
Щ,3.0,0.0,0.0,0.0,0.0,8.0,0.0,0.0,6.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Ы,0.0,1.0,9.0,1.0,3.0,12.0,0.0,2.0,4.0,7.0,3.0,6.0,6.0,3.0,2.0,10.0,3.0,9.0,4.0,1.0,0.0,16.0,0.0,1.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Ь,0.0,2.0,4.0,1.0,1.0,2.0,0.0,2.0,2.0,0.0,6.0,0.0,3.0,13.0,2.0,4.0,1.0,11.0,3.0,0.0,0.0,0.0,0.0,1.0,4.0,0.0,0.0,0.0,1.0,3.0,1.0,0.0
Э,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,9.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Ю,0.0,2.0,1.0,2.0,1.0,0.0,0.0,3.0,1.0,0.0,1.0,0.0,1.0,1.0,1.0,3.0,1.0,1.0,7.0,0.0,0.0,0.0,1.0,1.0,0.0,4.0,0.0,0.0,0.0,0.0,0.0,0.0
Я,1.0,3.0,9.0,1.0,3.0,3.0,1.0,5.0,3.0,2.0,3.0,3.0,4.0,6.0,3.0,6.0,3.0,6.0,10.0,0.0,0.0,2.0,1.0,4.0,1.0,1.0,0.0,0.0,1.0,1.0,1.0,0.0
0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
